question_id,Mamdani,Cuomo,Sliwa
Q1,agree,agree,neutral
Q2,agree,agree,disagree
Q3,agree,agree,disagree
Q4,agree,agree,neutral
Q5,agree,neutral,disagree
Q6,neutral,agree,disagree
Q7,agree,agree,neutral
Q8,agree,agree,neutral
Q9,agree,agree,agree
Q10,agree,agree,neutral
Q11,agree,neutral,disagree
Q12,neutral,agree,agree
Q13,agree,agree,agree
Q14,agree,agree,agree
Q15,agree,disagree,disagree
Q16,agree,agree,agree
Q17,agree,agree,disagree
Q18,agree,neutral,disagree
Q19,agree,agree,neutral
Q20,agree,agree,neutral
Q21,agree,agree,neutral
Q22,agree,agree,disagree
Q23,neutral,neutral,agree
Q24,agree,disagree,neutral
Q25,disagree,agree,agree
Q26,disagree,agree,agree
Q27,agree,agree,disagree
Q28,neutral,agree,agree
Q29,agree,agree,agree
Q30,agree,agree,disagree
Q31,disagree,disagree,agree
Q32,disagree,disagree,agree