question_id,statement,axis,category,pro_pole,con_pole
Q1,"The city should fund universal, citywide child care (including extended pre-K/3-K after school hours).",Economic Left-Right,Housing & Economic Justice,Economic Left,Economic Right
Q2,New York should freeze rents for rent-stabilized tenants to immediately reduce housing costs.,Economic Left-Right,Housing & Economic Justice,Economic Left,Economic Right
Q3,Tax increases on the wealthiest New Yorkers and profitable corporations are acceptable to pay for expanded social programs.,Economic Left-Right,Housing & Economic Justice,Economic Left,Economic Right
Q4,"The city must build hundreds of thousands of new truly affordable homes over the next decade, using city land and public financing.",Economic Left-Right,Housing & Economic Justice,Economic Left,Economic Right
Q5,Vacant apartments owned by out-of-city owners should be taxed to discourage speculation and help pay for housing programs.,Economic Left-Right,Housing & Economic Justice,Economic Left,Economic Right
Q6,Expedited land-use review and an affordable-housing fast-track are needed to build housing faster (support the 3 ballot amendments).,Economic Left-Right,Housing & Economic Justice,Economic Left,Economic Right
Q7,"The mayor must publicly and forcefully oppose federal pressure that threatens city institutions (universities, hospitals, immigrant services).",Local Defiance-Cooperation,"Civil Liberties, Federal Relations & Immigration",Local Defiance,Local Cooperation
Q8,City hospitals should continue to provide care to undocumented patients even if the federal government threatens to withhold funds.,Local Defiance-Cooperation,"Civil Liberties, Federal Relations & Immigration",Local Defiance,Local Cooperation
Q9,"The mayor should be willing to cooperate with the federal government when it benefits New Yorkers, but be adversarial when federal policy harms the city.",Local Defiance-Cooperation,"Civil Liberties, Federal Relations & Immigration",Local Defiance,Local Cooperation
Q10,Elected officials who publicly criticize foreign governments (or support protest movements) should not be targeted for deportation by the federal government.,Local Defiance-Cooperation,"Civil Liberties, Federal Relations & Immigration",Local Defiance,Local Cooperation
Q11,Candidates who identify as socialists or criticize a president should not be considered disqualified from office due to potential federal retaliation.,Local Defiance-Cooperation,"Civil Liberties, Federal Relations & Immigration",Local Defiance,Local Cooperation
Q12,The city should keep mayoral accountability for education outcomes while sharing more day-to-day decision-making with parents and educators.,Social Investment-Austerity,Education & Children,Social Investment,Social Austerity
Q13,"Addressing child homelessness, hunger, and family instability is the top priority to improve K-12 learning outcomes.",Social Investment-Austerity,Education & Children,Social Investment,Social Austerity
Q14,"The city should expand afterschool, weekend, and vocational programs (including more paraprofessionals) to improve learning.",Social Investment-Austerity,Education & Children,Social Investment,Social Austerity
Q15,State laws that reduce class size should be enforced; the city should not exempt “popular” schools from class-size rules.,Social Investment-Austerity,Education & Children,Social Investment,Social Austerity
Q16,The city should keep and enforce the 15 mph speed limit for e-bikes and penalize delivery apps that enable unsafe riding.,Urban Regulation-Mobility/Freedom,"Transit, Traffic & Climate",Urban Regulation,Urban Mobility/Freedom
Q17,"Congestion pricing should be kept (or modified), not abolished, to reduce traffic and fund transit.",Urban Regulation-Mobility/Freedom,"Transit, Traffic & Climate",Urban Regulation,Urban Mobility/Freedom
Q18,Free buses (citywide) are a worthwhile investment if funded to make bus service faster and more reliable.,Urban Regulation-Mobility/Freedom,"Transit, Traffic & Climate",Urban Regulation,Urban Mobility/Freedom
Q19,The city should strictly enforce Local Law 97 and help building owners comply through subsidies and a one-stop procurement for retrofits.,Urban Regulation-Mobility/Freedom,"Transit, Traffic & Climate",Urban Regulation,Urban Mobility/Freedom
Q20,"The city may replace some city tasks with AI where it saves money, but must not use AI as an excuse to lay off city workers.",Pro Worker Protections-Pro Automation,"City Services, Labor & Technology",Pro-Worker Protections,Pro-Automation
Q21,Any large rollout of AI in city jobs must include strong protections and retraining for affected city workers.,Pro Worker Protections-Pro Automation,"City Services, Labor & Technology",Pro-Worker Protections,Pro-Automation
Q22,The city should dedicate 1% of its budget to parks and green space maintenance.,Pro Worker Protections-Pro Automation,"City Services, Labor & Technology",Pro-Worker Protections,Pro-Automation
Q23,The city should not expand full-scale commercial casinos in the five boroughs.,Pro Worker Protections-Pro Automation,"City Services, Labor & Technology",Pro-Worker Protections,Pro-Automation
Q24,"Closing Rikers by 2027 should be followed by building smaller, humane borough-based facilities and strong reentry supports.",Pro Worker Protections-Pro Automation,"City Services, Labor & Technology",Pro-Worker Protections,Pro-Automation
Q25,Hiring several thousand additional police officers is necessary to keep New Yorkers safe.,Authoritarian-Libertarian,Public Safety & Criminal Justice,Authoritarian,Libertarian
Q26,"Quality-of-life enforcement (e.g., prosecuting misdemeanors, addressing street vending, shoplifting) helps prevent violent crime.",Authoritarian-Libertarian,Public Safety & Criminal Justice,Authoritarian,Libertarian
Q27,"The city should create and fund a Department of Community Safety (mental-health outreach + alternative response teams) to handle non-violent, behavioral health calls.",Authoritarian-Libertarian,Public Safety & Criminal Justice,Authoritarian,Libertarian
Q28,Bail reform should be rolled back to allow stricter pretrial detention for repeat low-level offenders.,Authoritarian-Libertarian,Public Safety & Criminal Justice,Authoritarian,Libertarian
Q29,The city should place two officers on overnight subway trains to increase rider safety.,Authoritarian-Libertarian,Public Safety & Criminal Justice,Authoritarian,Libertarian
Q30,The mayor should oppose federal raids and arrest operations carried out in NYC neighborhoods by federal agents without prior city coordination.,Authoritarian-Libertarian,Public Safety & Criminal Justice,Authoritarian,Libertarian
Q31,The age of adult criminal responsibility should not be raised from 16 years old to 18 years old for most crimes.,Authoritarian-Libertarian,Public Safety & Criminal Justice,Authoritarian,Libertarian
Q32,The mayor should reduce the number of safe injection sites for drug users in the city.,Authoritarian-Libertarian,Public Safety & Criminal Justice,Authoritarian,Libertarian